video_name,environment,understand,comment,rating,source
0_highway-fast-v0_800393-episode-0.mp4,highway-fast-v0,4,Passed vehicles on the left but didn't attempt to stay on the right,2,text_image
0_highway-fast-v0_792219-episode-0.mp4,highway-fast-v0,5,,5,text
0_Hopper-v5_228495-episode-0.mp4,Hopper-v5,4,"Text instruction might be missing a verb such as ""move [fast forward...]""",5,text_image
0_LunarLander-v3_926013-episode-0.mp4,LunarLander-v3,4,"""Stationary flight"" was loosely interpreted as ""move the least amount possible""",5,text
0_Hopper-v5_51198-episode-0.mp4,Hopper-v5,4,,5,text
0_Swimmer-v5_156005-episode-0.mp4,Swimmer-v5,4,"The wiggly arrow is a bit confusing. The result is a swimmer that adopts the expected movement, but is not moving fast forward",3,image
0_Swimmer-v5_156005-episode-0.mp4,Swimmer-v5,4,"The wiggly arrow is a bit confusing. The result is a swimmer that adopts the expected movement, but is not moving fast forward",3,image
0_LunarLander-v3_307547-episode-0.mp4,LunarLander-v3,5,"Is relatively stationary, but out of the bounding box",2,image
0_highway-fast-v0_964790-episode-0.mp4,highway-fast-v0,5,Not on the right lane,1,image
0_LunarLander-v3_570404-episode-0.mp4,LunarLander-v3,5,Follows the textual instruction perfectly (given the stationary zone defined by the picture) but doesn't stay within bounds defined on the picture,4,text_image
0_highway-fast-v0_43229-episode-0.mp4,highway-fast-v0,5,,5,text_image
0_highway-fast-v0_495971-episode-0.mp4,highway-fast-v0,5,Not on the right lane,1,text
0_LunarLander-v3_228071-episode-0.mp4,LunarLander-v3,5,not flying,1,image
0_highway-fast-v0_310042-episode-0.mp4,highway-fast-v0,5,,5,text
0_LunarLander-v3_187191-episode-0.mp4,LunarLander-v3,5,Not stationary,2,text
0_Hopper-v5_627340-episode-0.mp4,Hopper-v5,5,,5,image
0_Swimmer-v5_836464-episode-0.mp4,Swimmer-v5,5,Is fast but not the correct direction,2,text_image
0_Hopper-v5_617705-episode-0.mp4,Hopper-v5,5,Jumps no higher than the threshold on picture and is fast.,5,text_image
0_highway-fast-v0_66312-episode-0.mp4,highway-fast-v0,5,,5,text_image
0_LunarLander-v3_215642-episode-0.mp4,LunarLander-v3,5,Not stationary,2,text_image
0_LunarLander-v3_228071-episode-0.mp4,LunarLander-v3,5,crashed,1,image
0_Hopper-v5_365228-episode-0.mp4,Hopper-v5,5,,5,text
